dataset,source_group,dataset_mean,paraphraser
cmv,Human,0.9782004448848802,chatgpt
cmv,LLM,0.9701477236455144,chatgpt
eli5,Human,0.9627006418478069,chatgpt
eli5,LLM,0.9590131358838605,chatgpt
sci_gen,Human,0.9888104520625608,chatgpt
sci_gen,LLM,0.9743764584011685,chatgpt
tldr,Human,0.974456076631924,chatgpt
tldr,LLM,0.9739920710590548,chatgpt
wp,Human,0.9819845024634725,chatgpt
wp,LLM,0.9608856575750816,chatgpt
xsum,Human,0.9763459200252316,chatgpt
xsum,LLM,0.9707886056269619,chatgpt
yelp,Human,0.9537591267185944,chatgpt
yelp,LLM,0.96204629884695,chatgpt
cmv,Human,0.947481895832065,dipper(high)
cmv,LLM,0.9069821013174966,dipper(high)
eli5,Human,0.9011111358182867,dipper(high)
eli5,LLM,0.8816490954379109,dipper(high)
sci_gen,Human,0.8465012428478593,dipper(high)
sci_gen,LLM,0.8548537050702375,dipper(high)
tldr,Human,0.8367099384205808,dipper(high)
tldr,LLM,0.8581959022530921,dipper(high)
wp,Human,0.9591004195005824,dipper(high)
wp,LLM,0.924034085560105,dipper(high)
xsum,Human,0.8851112948003135,dipper(high)
xsum,LLM,0.8557687275087046,dipper(high)
yelp,Human,0.8704808457270712,dipper(high)
yelp,LLM,0.8808047836961973,dipper(high)
